u00 0.6,0.6,0.8,0.6,0.6
u01 0.4,0.4,0.4,0.2,0.2
u02 0.4,0.6,0.4,0.4,0.2
u03 0.4,0.2,0,0,0
u04 0.6,0.4,0.6,0.4,0.4
u05 0.2,0.8,0.2,0.2,0
u07 0.6,0.8,0.2,0.4,0.2
u08 0.8,0.4,0.4,0.4,0.6
u09 0.4,0.4,0.2,0.2,0.2
u10 0.6,0.6,0.4,0.6,0.2
u12 0.4,0.6,0.2,0.2,0.2
u13 0.8,0.2,0.2,0.4,0.2
u14 0.4,0.6,0.2,0.2,0.2
u15 0.6,0.4,0.4,0.4,0.4
u16 0.8,0.6,0.4,0.4,0.6
u17 0.8,0.4,0.8,0.6,0.8
u18 0.6,0.6,0.6,0.6,0.6
u19 0.4,0.2,0.2,0.4,0.4
u20 0.4,0.6,0.4,0.2,0.4
u22 0.2,0.8,0,0.2,0
u23 0.8,0.4,0.6,0.6,0.6
u24 0.6,0.6,0.4,0.4,0.2
u27 0.6,0.6,0.4,0.2,0.2
u30 0.4,0.8,0.2,0.2,0
u31 ,0.2,0.2,0.4,0.4
u32 0.4,0.8,0,0,0
u33 0.8,0.2,0.8,0.4,0.6
u34 0.4,0.6,0.4,0.4,0.2
u35 0.2,0.6,0.4,0.2,0.4
u36 0.4,0.6,0.2,0.2,0.2
u42 0.8,0.2,0.4,0.2,0.4
u43 0.6,0.6,0.4,0.6,0.4
u44 0.4,0.4,0.2,0.4,0.2
u45 0.4,0.2,0.2,0.6,0.2
u46 0.4,0.2,0.8,0.8,0.6
u47 0.6,0.6,0.2,0.2,0.2
u49 0.4,0.6,0.4,0.4,0.4
u50 0.2,0,0.2,0.6,0.4
u51 0.4,0.4,0.2,0.2,0.2
u52 0.8,0.2,0.4,0.2,0.6
u53 0.8,0.4,0.4,0.4,0.4
u54 0.6,0.6,0.4,0.2,0.4
u56 0.2,0.6,0.4,0.2,0.2
u57 0.4,0.8,0,0.2,0
u58 0.8,0.6,0.2,0.4,0.2
u59 0.4,0.4,0.6,0.4,0.2
u00 0.4,0.6,0.4,0.2,0.2
u01 0.4,0.6,0.4,0.4,0.4
u02 0.8,0.6,0.8,0.6,0.6
u03 0.8,0.4,0.6,0.2,0.4
u04 0.8,0.6,0.2,0.2,0.4
u05 0.2,0.6,0,0,0
u07 0.8,0.6,0.6,0.6,0.6
u09 0.8,0.6,0.4,0.2,0.4
u10 0.6,0.8,0.4,0.4,0.4
u14 0.6,0.4,0.2,0.4,0.4
u15 0.4,0.6,0,0.4,0
u16 0.8,0.4,0.4,0.4,0.8
u17 0.8,0.4,0.8,0.8,0.6
u18 0.8,0.4,0.4,0.4,0.6
u19 0.8,0.6,0.4,0.4,0.4
u20 0.6,0.4,0.4,0.4,0.4
u23 0.6,0.6,0.4,0.6,0.4
u24 0.4,0.4,0.2,0.4,0.2
u27 0.8,0.4,0.6,0.4,0.4
u30 0.4,0.6,0.4,0.2,0.2
u31 0.2,0.2,0.4,0.2,0
u32 0.4,0.8,0.2,0,0
u33 0.8,0.2,0.8,0.4,0.8
u34 0.4,0.6,0.4,0.2,0.4
u35 0.4,0.4,0.2,0.2,0.4
u36 0.4,0.6,0.4,0.2,0.2
u42 0.2,0.4,0.2,0.2,0.2
u43 0.2,0.4,0.2,0.4,0.2
u44 0.4,0.4,0.4,0.4,0.2
u45 0.2,0.2,0.4,0.4,0.4
u46 0.8,0.4,0.8,0.8,0.8
u47 0.6,0.2,0.6,0.8,0.4
u49 0.4,0.6,0,0.2,0.2
u51 0.6,0.6,0.2,0.2,0.2
u52 0.8,0.2,0.6,0.4,0.8
u53 0.6,0.4,0.4,0.4,0.4
u54 0.6,0.4,0.4,0.4,0.4
u56 0.2,0.6,0.2,0,0.2
u59 0.4,0.6,0.4,0.2,0
